code,code_name,信号日期,当日收盘价,5日均线,20日均线,60日均线,当日J值,前一日J值,5日收益率,10日收益率,30日收益率
sh.603259,药明康德,2024-10-17,48.18,50.11,46.42,42.04,-6.8,24.36,4.07,7.93,2.53
sh.603288,海天味业,2024-10-17,42.24,44.64,41.57,37.16,-13.71,6.77,2.94,3.62,4.29
sh.603369,今世缘,2024-10-17,44.25,45.85,43.04,42.76,-12.4,5.38,7.23,-0.75,1.04
sh.603659,璞泰来,2024-10-17,13.1,13.48,12.69,12.22,-12.62,5.33,10.76,28.32,52.44
sh.603799,华友钴业,2024-10-17,27.72,28.34,25.76,23.62,-1.49,33.4,9.09,12.09,14.39
sh.603806,福斯特,2024-10-17,15.45,15.51,15.24,15.03,-3.4,1.17,16.89,20.65,12.04
sh.603986,兆易创新,2024-10-17,82.39,84.12,77.07,78.01,-2.14,24.13,7.17,9.44,3.46
sh.688271,联影医疗,2024-10-17,110.35,114.88,108.87,109.58,-12.26,2.68,10.0,10.72,17.65
sz.000166,申万宏源,2024-10-17,5.1,5.21,4.9,4.61,-10.09,6.95,3.14,4.51,4.12
sz.000538,云南白药,2024-10-17,55.3,56.67,54.72,53.41,-9.76,7.1,3.33,3.18,2.98
sz.000568,泸州老窖,2024-10-17,131.19,136.63,123.99,124.39,-11.5,11.55,3.39,3.29,3.77
sz.000596,古井贡酒,2024-10-17,184.15,189.96,172.55,177.18,-5.41,25.33,3.37,2.31,2.96
sz.000661,长春高新,2024-10-17,98.09,101.12,94.17,89.49,-13.75,6.96,4.81,6.41,7.65
sz.000708,中信特钢,2024-10-17,12.32,12.57,11.84,11.86,-7.16,13.94,0.57,-1.87,-5.44
sz.000725,京东方A,2024-10-17,4.09,4.16,4.03,3.91,-12.68,1.41,3.91,14.18,4.16
sz.000776,广发证券,2024-10-17,15.42,15.62,14.42,12.85,-3.35,18.9,4.09,5.12,4.73
sz.000792,盐湖股份,2024-10-17,16.83,17.21,16.3,15.25,-6.76,16.7,3.21,6.6,4.93
sz.000858,五粮液,2024-10-17,137.95,144.6,132.67,126.68,-13.62,4.69,6.17,6.44,4.39
sz.000876,新希望,2024-10-17,9.19,9.47,9.12,9.22,-11.09,3.46,3.59,6.75,3.05
sz.000963,华东医药,2024-10-17,32.12,33.02,31.03,29.74,-7.24,17.57,5.17,2.77,13.64
sz.000999,华润三九,2024-10-17,44.55,46.2,42.81,43.01,-0.62,35.6,8.1,1.01,3.37
sz.001289,龙源电力,2024-10-17,15.15,15.46,14.97,16.0,-12.06,1.86,13.93,21.65,11.95
sz.002050,三花智控,2024-10-17,21.08,21.41,20.35,18.32,-6.34,3.35,8.54,3.8,4.93
sz.002074,国轩高科,2024-10-17,20.69,21.3,20.39,19.28,-9.27,14.0,7.15,10.05,11.84
sz.002180,纳思达,2024-10-17,27.59,28.72,26.95,25.73,-10.47,13.57,-1.99,2.21,-4.68
sz.002236,大华股份,2024-10-17,15.91,16.06,15.28,14.41,-7.4,9.31,2.77,3.33,0.38
sz.002311,海大集团,2024-10-17,40.99,42.67,40.25,40.48,-13.35,1.3,11.64,7.0,12.91
sz.002460,赣锋锂业,2024-10-17,29.96,30.93,29.62,27.86,-13.47,4.26,6.71,13.42,36.82
sz.002466,天齐锂业,2024-10-17,31.78,32.82,30.39,28.23,-8.9,16.59,9.25,13.12,19.07
sz.002594,比亚迪,2024-10-17,289.42,296.85,280.06,255.26,-2.14,24.46,4.93,1.3,-5.13
sz.002648,卫星化学,2024-10-17,17.79,18.25,16.87,16.51,-1.93,28.4,6.13,6.3,-0.34
sz.002714,牧原股份,2024-10-17,41.24,42.13,40.25,41.27,-12.83,1.37,4.68,5.82,-1.79
sz.002812,恩捷股份,2024-10-17,31.09,32.35,29.73,28.59,-6.12,24.33,5.95,14.51,18.82
sz.002920,德赛西威,2024-10-17,111.33,114.04,106.7,96.41,-4.16,15.61,9.16,9.47,9.72
sz.300014,亿纬锂能,2024-10-17,42.28,44.51,40.01,37.35,-4.27,26.12,6.29,14.83,13.48
sz.300015,爱尔眼科,2024-10-17,14.0,14.04,12.41,10.95,-1.68,15.58,2.86,3.5,2.14
sz.300122,智飞生物,2024-10-17,29.94,30.67,27.07,25.55,-1.3,23.27,7.01,-5.21,-3.14
sz.300124,汇川技术,2024-10-17,55.1,57.01,52.77,47.05,-11.8,7.38,2.87,0.56,5.81
sz.300347,泰格医药,2024-10-17,59.72,61.59,57.92,53.67,-11.75,5.73,11.74,5.24,4.15
sz.300408,三环集团,2024-10-17,34.29,34.97,33.0,31.81,-7.7,11.53,5.95,8.4,5.98
sz.300413,芒果超媒,2024-10-17,23.19,23.47,21.88,20.38,-9.42,3.75,10.44,8.15,23.5
sz.300450,先导智能,2024-10-17,17.15,17.73,16.19,15.75,-5.56,21.38,8.92,9.5,36.21
sz.300628,亿联网络,2024-10-17,38.18,39.76,38.07,35.02,-2.66,14.76,1.6,1.89,-2.25
sz.300750,宁德时代,2024-10-17,231.5,239.62,220.07,193.93,-7.61,16.93,6.33,6.25,10.02
sz.300759,康龙化成,2024-10-17,25.51,27.12,25.17,22.01,-7.41,16.94,11.45,14.35,5.8
sz.300896,爱美客,2024-10-17,202.4,206.01,181.27,165.86,-3.56,17.49,3.11,5.12,1.62
sh.600016,民生银行,2024-10-18,3.91,3.92,3.73,3.58,-0.23,3.07,-0.51,-3.07,1.28
sh.600938,中国海油,2024-10-18,28.44,29.12,28.32,28.43,-4.19,4.75,-1.97,-4.89,-7.95
sz.300999,金龙鱼,2024-10-18,33.54,32.94,30.47,27.59,-1.83,0.99,0.21,-4.05,1.97
sh.601066,中信建投,2024-10-21,26.29,26.29,24.28,20.91,-0.6,2.0,-1.71,-0.34,4.75
sz.000651,格力电器,2024-10-21,47.0,47.39,45.4,41.8,-1.37,0.67,-0.51,-7.87,-10.55
sh.600015,华夏银行,2024-10-23,7.22,7.29,7.13,6.57,-3.09,3.1,-2.49,-1.39,6.93
sh.601398,工商银行,2024-10-24,6.16,6.18,6.14,6.02,-2.77,0.39,-1.95,-0.16,1.62
sh.601939,建设银行,2024-10-25,8.11,8.14,8.04,7.74,-0.78,3.22,-0.62,-1.36,1.97
sh.601658,邮储银行,2024-10-28,5.42,5.51,5.4,5.01,-5.61,4.69,-2.21,-4.06,2.4
sh.601838,成都银行,2024-10-28,15.47,15.61,15.45,14.57,-0.39,4.55,1.81,1.03,4.78
sz.002001,新和成,2024-10-28,22.92,23.7,22.76,20.77,-0.78,16.91,2.53,1.22,-6.28
sh.600039,四川路桥,2024-10-29,7.47,7.55,7.4,6.37,-4.77,2.96,2.41,3.35,2.41
sh.688981,中芯国际,2024-11-01,84.81,88.59,83.33,58.88,-5.53,9.46,18.26,11.91,-2.15
sh.688256,寒武纪,2024-11-04,410.94,430.96,398.95,289.66,-0.11,13.79,4.76,9.18,39.98
sh.600585,海螺水泥,2024-11-13,26.26,26.8,26.19,23.43,-10.05,6.6,-0.72,-2.28,-6.63
sz.000100,TCL科技,2024-11-14,4.93,5.17,4.82,4.23,-5.59,17.68,-2.43,-7.1,4.87
sh.600111,北方稀土,2024-11-15,23.32,24.8,23.12,19.43,-1.87,25.58,1.33,-2.02,-7.2
